DATATIME,WINDSPEED,WINDSPEED2,"ROUND(A.POWER,0)",YD15
2021-11-16 06:00:00,6.9,-6.664917,54883.0,52752.0
2021-11-16 06:15:00,6.9,-6.664917,52631.0,50299.0
2021-11-16 06:30:00,6.8,-6.59804,52916.0,48683.0
2021-11-16 06:45:00,6.7,-6.471731,49421.0,47884.0
2021-11-16 07:00:00,6.6,-6.40398,48896.0,46054.0
2021-11-16 07:15:00,6.6,-6.40398,43451.0,42125.0
2021-11-16 07:30:00,6.6,-6.40398,46580.0,42817.0
2021-11-16 07:45:00,6.6,-6.40398,47406.0,45672.0
2021-11-16 08:00:00,6.6,-6.40398,44520.0,40908.0
2021-11-16 08:15:00,6.6,-6.40398,41190.0,38920.0
2021-11-16 08:30:00,6.6,-6.430842,37620.0,34707.0
2021-11-16 08:45:00,6.7,-6.528279,36551.0,31745.0
2021-11-16 09:00:00,6.6,-6.45579,30304.0,28595.0
2021-11-16 09:15:00,6.6,-6.45579,26051.0,23870.0
2021-11-16 09:30:00,6.5,-6.380595,22379.0,19491.0
2021-11-16 09:45:00,6.5,-6.380595,22555.0,21839.0
2021-11-16 10:00:00,6.4,-6.282432,18509.0,17120.0
2021-11-16 10:15:00,6.2,-6.105822,14727.0,13027.0
2021-11-16 10:30:00,5.8,-5.711898,12248.0,10907.0
2021-11-16 10:45:00,5.3,-5.234757,13287.0,12006.0
2021-11-16 11:00:00,4.9,-4.852323,10797.0,7018.0
2021-11-16 11:15:00,4.7,-4.642143,5000.0,3965.0
2021-11-16 11:30:00,4.6,-4.530126,10253.0,9188.0
2021-11-16 11:45:00,4.5,-4.384665,11315.0,9829.0
2021-11-16 12:00:00,4.4,-4.26932,7780.0,8416.0
2021-11-16 12:15:00,4.4,-4.20772,8239.0,6188.0
2021-11-16 12:30:00,4.3,-4.065736,6352.0,4047.0
2021-11-16 12:45:00,4.2,-3.894156,5390.0,3900.0
2021-11-16 13:00:00,4.2,-3.83691,5805.0,3233.0
2021-11-16 13:15:00,4.0,-3.56404,6501.0,5737.0
2021-11-16 13:30:00,3.9,-3.411018,5361.0,3586.0
2021-11-16 13:45:00,3.8,-3.22259,2872.0,2191.0
2021-11-16 14:00:00,3.7,-3.030855,3185.0,1717.0
2021-11-16 14:15:00,3.4,-2.679234,3294.0,987.0
2021-11-16 14:30:00,3.3,-2.413455,2566.0,1636.0
2021-11-16 14:45:00,3.0,-2.08398,2943.0,1922.0
2021-11-16 15:00:00,2.9,-1.785414,3203.0,2534.0
2021-11-16 15:15:00,2.8,-1.4,1559.0,525.0
2021-11-16 15:30:00,2.7,-1.098198,1149.0,1734.0
2021-11-16 15:45:00,2.7,-0.698814,5040.0,5368.0
2021-11-16 16:00:00,2.7,-0.375759,6490.0,5136.0
2021-11-16 16:15:00,2.8,0.0,9854.0,8980.0
